,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
1041,37434,True,18.214,0.425,1974.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,433982,Hendrik,2023-07-05,9,13.3285,81.776886,10.278501,6.380274,3.2,3.2,0.0,0.0,63.0,1002.3,1001.2251,48.305775,267.0097,97.92,13.028501,16.478498,15.9285,10.778501,0.733,0.474,0.538,0.661
1042,37435,True,15.409,0.604,1879.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,319954,Hendrik,2019-05-14,18,13.0175,61.418106,5.7675004,9.758768,0.0,0.0,0.0,0.0,0.0,1031.2,1030.8308,15.137133,25.346138,31.319998,14.7175,11.2675,10.3175,9.5175,0.545,0.566,0.595,0.64
1043,37436,True,14.357,0.0,1984.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,74876,Hendrik,2008-11-09,7,9.4915,75.05976,5.2915,4.81275,0.0,0.0,0.0,0.0,0.0,1009.6,1008.6244,24.162947,241.5259,47.88,8.9915,9.5415,10.4915,12.841499,0.701,0.648,0.625,0.625
1044,37437,True,21.5,0.0,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,325767,Hendrik,2019-07-26,14,36.0155,33.413338,17.4155,38.480633,0.0,0.0,0.0,0.0,1.0,1006.5,1005.2775,9.021574,118.61037,25.56,30.7155,22.9655,16.365501,11.6154995,0.44,0.479,0.533,0.624
1045,37439,True,12.115,0.0,2000.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,393669,Dirk,2022-02-18,19,6.898,62.823215,0.29799998,-2.0556812,0.0,0.0,0.0,0.0,1.0,991.8,991.07446,47.149002,255.85762,99.0,7.648,7.948,7.548,9.848,0.722,0.72,0.7,0.679
1046,37440,True,13.5,0.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,341120,Dirk,2020-02-10,15,8.248,66.610886,2.398,1.5666976,0.1,0.1,0.0,0.0,51.0,996.1,995.37476,33.989033,241.53493,72.72,7.898,7.198,7.498,10.248,0.722,0.729,0.697,0.673
1047,37450,True,12.955,0.0,1966.167,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,340893,Nico,2020-02-09,16,11.2415,77.9783,7.5415,2.6603212,0.6,0.6,0.0,0.0,53.0,988.0,987.16956,54.477882,209.27516,99.72,8.841499,6.5915003,7.4915004,10.2415,0.678,0.679,0.69,0.672
1048,37450,True,12.955,0.0,1966.167,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,443447,Nico,2023-11-02,17,9.841499,78.29975,6.2415004,2.3259215,0.1,0.1,0.0,0.0,51.0,969.7,968.881,45.057564,194.8135,81.72,9.6414995,11.1915,12.7915,13.9415,0.746,0.745,0.708,0.631
1049,37451,True,14.417,0.0,1977.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,138454,Nico,2013-04-18,15,11.830501,64.41356,5.3305,4.633404,0.0,0.0,0.0,0.0,2.0,1015.4,1015.1567,41.48912,239.20683,74.520004,13.580501,10.4305,6.1305003,6.9805,0.589,0.609,0.628,0.689
1050,37451,True,14.417,0.0,1977.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,433295,Nico,2023-07-05,9,13.374,81.78277,10.324,6.438986,3.2,3.2,0.0,0.0,63.0,1002.3,1002.0611,48.305775,267.0097,97.92,13.074,16.524,15.974,10.824,0.733,0.474,0.538,0.661
1051,37451,True,14.417,0.0,1977.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,434025,Nico,2023-07-05,9,13.374,81.78277,10.324,6.438986,3.2,3.2,0.0,0.0,63.0,1002.3,1002.0611,48.305775,267.0097,97.92,13.074,16.524,15.974,10.824,0.733,0.474,0.538,0.661
1052,37456,True,16.167,0.0,1978.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,66597,Nico,2008-03-12,12,7.6915,69.1474,2.3915,-1.4894624,0.1,0.1,0.0,0.0,51.0,991.4,990.4357,51.121265,270.40347,97.92,7.4915004,6.7415004,7.0915003,9.2915,0.705,0.698,0.667,0.662
1053,37456,True,16.167,0.0,1978.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,396200,Nico,2022-03-16,14,12.285001,67.01239,6.335,8.524693,0.0,0.0,0.0,0.0,2.0,1021.2,1020.2228,19.453327,141.009,34.56,9.935,8.235001,7.435,9.285001,0.589,0.61,0.669,0.694
1054,37465,True,10.568,0.0,1896.818,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,325702,Victor,2019-07-25,20,28.484999,53.85345,18.234999,30.180992,0.0,0.0,0.0,0.0,0.0,1012.0,1011.0835,9.028754,85.42616,13.679999,28.484999,22.885,16.285,11.635,0.377,0.406,0.484,0.6
1055,37480,True,12.5,0.0,1989.5,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,322023,Victor,2019-06-08,12,15.348,72.33998,10.398,9.328228,1.8,1.8,0.0,0.0,61.0,1012.7,1011.98065,42.17535,219.80553,86.03999,14.898,14.998,13.348,9.948,0.626,0.536,0.525,0.61
1056,37482,True,10.318,0.4,1987.237,4.0,2.0,2.0,1.0,0.0,7.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,340892,Victor,2020-02-09,16,11.15,77.433586,7.35,2.0069094,0.5,0.5,0.0,0.0,53.0,988.3,988.5378,58.00917,208.9509,101.52,8.85,6.6,7.45,10.35,0.673,0.672,0.675,0.627
