Unnamed: 0,grid_id,zipcode,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
5169.0,8685.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.31642598244656, 4.907730272744895 52.31642598244656, 4.907730272744895 52.314624180644756, 4.904782543660426 52.314624180644756, 4.904782543660426 52.31642598244656))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5170.0,8686.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.318227784248364, 4.907730272744895 52.318227784248364, 4.907730272744895 52.31642598244656, 4.904782543660426 52.31642598244656, 4.904782543660426 52.318227784248364))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5171.0,8687.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.32002958605017, 4.907730272744895 52.32002958605017, 4.907730272744895 52.318227784248364, 4.904782543660426 52.318227784248364, 4.904782543660426 52.32002958605017))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5172.0,8688.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.32183138785197, 4.907730272744895 52.32183138785197, 4.907730272744895 52.32002958605017, 4.904782543660426 52.32002958605017, 4.904782543660426 52.32183138785197))",True,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5173.0,8689.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.323633189653776, 4.907730272744895 52.323633189653776, 4.907730272744895 52.32183138785197, 4.904782543660426 52.32183138785197, 4.904782543660426 52.323633189653776))",True,21.083,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
5174.0,8690.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.32543499145558, 4.907730272744895 52.32543499145558, 4.907730272744895 52.323633189653776, 4.904782543660426 52.323633189653776, 4.904782543660426 52.32543499145558))",True,7.625,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
5175.0,8691.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.327236793257384, 4.907730272744895 52.327236793257384, 4.907730272744895 52.32543499145558, 4.904782543660426 52.32543499145558, 4.904782543660426 52.327236793257384))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5176.0,8692.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.32903859505919, 4.907730272744895 52.32903859505919, 4.907730272744895 52.327236793257384, 4.904782543660426 52.327236793257384, 4.904782543660426 52.32903859505919))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5177.0,8693.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.33084039686099, 4.907730272744895 52.33084039686099, 4.907730272744895 52.32903859505919, 4.904782543660426 52.32903859505919, 4.904782543660426 52.33084039686099))",True,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0
5178.0,8694.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.332642198662796, 4.907730272744895 52.332642198662796, 4.907730272744895 52.33084039686099, 4.904782543660426 52.33084039686099, 4.904782543660426 52.332642198662796))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5179.0,8695.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.3344440004646, 4.907730272744895 52.3344440004646, 4.907730272744895 52.332642198662796, 4.904782543660426 52.332642198662796, 4.904782543660426 52.3344440004646))",True,21.5,0.633,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
5180.0,8696.0,1096.0,Willem,"POLYGON ((4.904782543660426 52.336245802266404, 4.907730272744895 52.336245802266404, 4.907730272744895 52.3344440004646, 4.904782543660426 52.3344440004646, 4.904782543660426 52.336245802266404))",True,19.844,0.25,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0
5181.0,8697.0,1079.0,Willem,"POLYGON ((4.904782543660426 52.33804760406821, 4.907730272744895 52.33804760406821, 4.907730272744895 52.336245802266404, 4.904782543660426 52.336245802266404, 4.904782543660426 52.33804760406821))",True,7.981,0.75,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0
5182.0,8698.0,1079.0,Willem,"POLYGON ((4.904782543660426 52.33984940587001, 4.907730272744895 52.33984940587001, 4.907730272744895 52.33804760406821, 4.904782543660426 52.33804760406821, 4.904782543660426 52.33984940587001))",True,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
5183.0,8699.0,1079.0,Willem,"POLYGON ((4.904782543660426 52.341651207671816, 4.907730272744895 52.341651207671816, 4.907730272744895 52.33984940587001, 4.904782543660426 52.33984940587001, 4.904782543660426 52.341651207671816))",True,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,10.0
5184.0,8700.0,1079.0,Willem,"POLYGON ((4.904782543660426 52.34345300947362, 4.907730272744895 52.34345300947362, 4.907730272744895 52.341651207671816, 4.904782543660426 52.341651207671816, 4.904782543660426 52.34345300947362))",True,13.028,0.575,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,0.0,1.0,42.0,0.0,3.0,0.0,6.0,68.0
5185.0,8701.0,1079.0,Willem,"POLYGON ((4.904782543660426 52.345254811275424, 4.907730272744895 52.345254811275424, 4.907730272744895 52.34345300947362, 4.904782543660426 52.34345300947362, 4.904782543660426 52.345254811275424))",True,14.675,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,31.0
5186.0,8702.0,1079.0,Willem,"POLYGON ((4.904782543660426 52.34705661307723, 4.907730272744895 52.34705661307723, 4.907730272744895 52.345254811275424, 4.904782543660426 52.345254811275424, 4.904782543660426 52.34705661307723))",True,21.353,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
5187.0,8703.0,1078.0,Willem,"POLYGON ((4.904782543660426 52.34885841487903, 4.907730272744895 52.34885841487903, 4.907730272744895 52.34705661307723, 4.904782543660426 52.34705661307723, 4.904782543660426 52.34885841487903))",True,21.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,36.0
5188.0,8704.0,1078.0,Willem,"POLYGON ((4.904782543660426 52.350660216680836, 4.907730272744895 52.350660216680836, 4.907730272744895 52.34885841487903, 4.904782543660426 52.34885841487903, 4.904782543660426 52.350660216680836))",True,21.5,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0
5189.0,8705.0,1074.0,Willem,"POLYGON ((4.904782543660426 52.35246201848264, 4.907730272744895 52.35246201848264, 4.907730272744895 52.350660216680836, 4.904782543660426 52.350660216680836, 4.904782543660426 52.35246201848264))",True,18.2,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,51.0
5190.0,8706.0,1074.0,Willem,"POLYGON ((4.904782543660426 52.354263820284444, 4.907730272744895 52.354263820284444, 4.907730272744895 52.35246201848264, 4.904782543660426 52.35246201848264, 4.904782543660426 52.354263820284444))",True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5191.0,8707.0,1074.0,Willem,"POLYGON ((4.904782543660426 52.35606562208625, 4.907730272744895 52.35606562208625, 4.907730272744895 52.354263820284444, 4.904782543660426 52.354263820284444, 4.904782543660426 52.35606562208625))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5192.0,8708.0,1074.0,Willem,"POLYGON ((4.904782543660426 52.35786742388805, 4.907730272744895 52.35786742388805, 4.907730272744895 52.35606562208625, 4.904782543660426 52.35606562208625, 4.904782543660426 52.35786742388805))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5193.0,8709.0,1091.0,Willem,"POLYGON ((4.904782543660426 52.359669225689856, 4.907730272744895 52.359669225689856, 4.907730272744895 52.35786742388805, 4.904782543660426 52.35786742388805, 4.904782543660426 52.359669225689856))",True,3.9,0.75,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
5194.0,8710.0,1091.0,Nico,"POLYGON ((4.904782543660426 52.36147102749166, 4.907730272744895 52.36147102749166, 4.907730272744895 52.359669225689856, 4.904782543660426 52.359669225689856, 4.904782543660426 52.36147102749166))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
