,geometry
105,"POLYGON ((4.701389236832061 52.39570526172594, 4.701389236832061 52.39750706352774, 4.70433696591653 52.39750706352774, 4.70433696591653 52.39570526172594, 4.701389236832061 52.39570526172594))"
106,"POLYGON ((4.701389236832061 52.39750706352774, 4.701389236832061 52.399308865329544, 4.70433696591653 52.399308865329544, 4.70433696591653 52.39750706352774, 4.701389236832061 52.39750706352774))"
107,"POLYGON ((4.701389236832061 52.399308865329544, 4.701389236832061 52.40111066713135, 4.70433696591653 52.40111066713135, 4.70433696591653 52.399308865329544, 4.701389236832061 52.399308865329544))"
108,"POLYGON ((4.701389236832061 52.40111066713135, 4.701389236832061 52.40291246893315, 4.70433696591653 52.40291246893315, 4.70433696591653 52.40111066713135, 4.701389236832061 52.40111066713135))"
109,"POLYGON ((4.701389236832061 52.40291246893315, 4.701389236832061 52.40471427073496, 4.70433696591653 52.40471427073496, 4.70433696591653 52.40291246893315, 4.701389236832061 52.40291246893315))"
110,"POLYGON ((4.701389236832061 52.40471427073496, 4.701389236832061 52.40651607253676, 4.70433696591653 52.40651607253676, 4.70433696591653 52.40471427073496, 4.701389236832061 52.40471427073496))"
111,"POLYGON ((4.701389236832061 52.40651607253676, 4.701389236832061 52.408317874338564, 4.70433696591653 52.408317874338564, 4.70433696591653 52.40651607253676, 4.701389236832061 52.40651607253676))"
112,"POLYGON ((4.701389236832061 52.408317874338564, 4.701389236832061 52.41011967614037, 4.70433696591653 52.41011967614037, 4.70433696591653 52.408317874338564, 4.701389236832061 52.408317874338564))"
113,"POLYGON ((4.701389236832061 52.41011967614037, 4.701389236832061 52.41192147794217, 4.70433696591653 52.41192147794217, 4.70433696591653 52.41011967614037, 4.701389236832061 52.41011967614037))"
114,"POLYGON ((4.701389236832061 52.41192147794217, 4.701389236832061 52.41372327974398, 4.70433696591653 52.41372327974398, 4.70433696591653 52.41192147794217, 4.701389236832061 52.41192147794217))"
115,"POLYGON ((4.701389236832061 52.41372327974398, 4.701389236832061 52.41552508154578, 4.70433696591653 52.41552508154578, 4.70433696591653 52.41372327974398, 4.701389236832061 52.41372327974398))"
116,"POLYGON ((4.701389236832061 52.41552508154578, 4.701389236832061 52.417326883347584, 4.70433696591653 52.417326883347584, 4.70433696591653 52.41552508154578, 4.701389236832061 52.41552508154578))"
117,"POLYGON ((4.701389236832061 52.417326883347584, 4.701389236832061 52.41912868514939, 4.70433696591653 52.41912868514939, 4.70433696591653 52.417326883347584, 4.701389236832061 52.417326883347584))"
118,"POLYGON ((4.701389236832061 52.41912868514939, 4.701389236832061 52.42093048695119, 4.70433696591653 52.42093048695119, 4.70433696591653 52.41912868514939, 4.701389236832061 52.41912868514939))"
119,"POLYGON ((4.701389236832061 52.42093048695119, 4.701389236832061 52.422732288753, 4.70433696591653 52.422732288753, 4.70433696591653 52.42093048695119, 4.701389236832061 52.42093048695119))"
120,"POLYGON ((4.701389236832061 52.422732288753, 4.701389236832061 52.4245340905548, 4.70433696591653 52.4245340905548, 4.70433696591653 52.422732288753, 4.701389236832061 52.422732288753))"
121,"POLYGON ((4.701389236832061 52.4245340905548, 4.701389236832061 52.426335892356605, 4.70433696591653 52.426335892356605, 4.70433696591653 52.4245340905548, 4.701389236832061 52.4245340905548))"
122,"POLYGON ((4.701389236832061 52.426335892356605, 4.701389236832061 52.42813769415841, 4.70433696591653 52.42813769415841, 4.70433696591653 52.426335892356605, 4.701389236832061 52.426335892356605))"
123,"POLYGON ((4.701389236832061 52.42813769415841, 4.701389236832061 52.42993949596021, 4.70433696591653 52.42993949596021, 4.70433696591653 52.42813769415841, 4.701389236832061 52.42813769415841))"
124,"POLYGON ((4.701389236832061 52.42993949596021, 4.701389236832061 52.43174129776202, 4.70433696591653 52.43174129776202, 4.70433696591653 52.42993949596021, 4.701389236832061 52.42993949596021))"
125,"POLYGON ((4.70433696591653 52.206516072536516, 4.70433696591653 52.20831787433832, 4.707284695000999 52.20831787433832, 4.707284695000999 52.206516072536516, 4.70433696591653 52.206516072536516))"
126,"POLYGON ((4.70433696591653 52.20831787433832, 4.70433696591653 52.210119676140124, 4.707284695000999 52.210119676140124, 4.707284695000999 52.20831787433832, 4.70433696591653 52.20831787433832))"
127,"POLYGON ((4.70433696591653 52.210119676140124, 4.70433696591653 52.21192147794193, 4.707284695000999 52.21192147794193, 4.707284695000999 52.210119676140124, 4.70433696591653 52.210119676140124))"
128,"POLYGON ((4.70433696591653 52.21192147794193, 4.70433696591653 52.21372327974373, 4.707284695000999 52.21372327974373, 4.707284695000999 52.21192147794193, 4.70433696591653 52.21192147794193))"
129,"POLYGON ((4.70433696591653 52.21372327974373, 4.70433696591653 52.215525081545536, 4.707284695000999 52.215525081545536, 4.707284695000999 52.21372327974373, 4.70433696591653 52.21372327974373))"
130,"POLYGON ((4.70433696591653 52.215525081545536, 4.70433696591653 52.21732688334734, 4.707284695000999 52.21732688334734, 4.707284695000999 52.215525081545536, 4.70433696591653 52.215525081545536))"
131,"POLYGON ((4.70433696591653 52.21732688334734, 4.70433696591653 52.219128685149144, 4.707284695000999 52.219128685149144, 4.707284695000999 52.21732688334734, 4.70433696591653 52.21732688334734))"
132,"POLYGON ((4.70433696591653 52.219128685149144, 4.70433696591653 52.22093048695095, 4.707284695000999 52.22093048695095, 4.707284695000999 52.219128685149144, 4.70433696591653 52.219128685149144))"
133,"POLYGON ((4.70433696591653 52.22093048695095, 4.70433696591653 52.22273228875275, 4.707284695000999 52.22273228875275, 4.707284695000999 52.22093048695095, 4.70433696591653 52.22093048695095))"
134,"POLYGON ((4.70433696591653 52.22273228875275, 4.70433696591653 52.224534090554556, 4.707284695000999 52.224534090554556, 4.707284695000999 52.22273228875275, 4.70433696591653 52.22273228875275))"
135,"POLYGON ((4.70433696591653 52.224534090554556, 4.70433696591653 52.22633589235636, 4.707284695000999 52.22633589235636, 4.707284695000999 52.224534090554556, 4.70433696591653 52.224534090554556))"
136,"POLYGON ((4.70433696591653 52.22633589235636, 4.70433696591653 52.228137694158164, 4.707284695000999 52.228137694158164, 4.707284695000999 52.22633589235636, 4.70433696591653 52.22633589235636))"
137,"POLYGON ((4.70433696591653 52.228137694158164, 4.70433696591653 52.22993949595997, 4.707284695000999 52.22993949595997, 4.707284695000999 52.228137694158164, 4.70433696591653 52.228137694158164))"
138,"POLYGON ((4.70433696591653 52.22993949595997, 4.70433696591653 52.23174129776177, 4.707284695000999 52.23174129776177, 4.707284695000999 52.22993949595997, 4.70433696591653 52.22993949595997))"
139,"POLYGON ((4.70433696591653 52.23174129776177, 4.70433696591653 52.233543099563576, 4.707284695000999 52.233543099563576, 4.707284695000999 52.23174129776177, 4.70433696591653 52.23174129776177))"
140,"POLYGON ((4.70433696591653 52.233543099563576, 4.70433696591653 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.233543099563576, 4.70433696591653 52.233543099563576))"
141,"POLYGON ((4.70433696591653 52.23534490136538, 4.70433696591653 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23534490136538, 4.70433696591653 52.23534490136538))"
142,"POLYGON ((4.70433696591653 52.237146703167184, 4.70433696591653 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.237146703167184, 4.70433696591653 52.237146703167184))"
143,"POLYGON ((4.70433696591653 52.23894850496899, 4.70433696591653 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.23894850496899, 4.70433696591653 52.23894850496899))"
144,"POLYGON ((4.70433696591653 52.24075030677079, 4.70433696591653 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.24075030677079, 4.70433696591653 52.24075030677079))"
