grid_id,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
4833,True,1.962,262.923,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368958,Osdorp,2021-03-13,20,5.8305,75.22136,1.7804999,-0.051020622,0.0,0.0,0.0,0.0,3.0,997.0,996.8778,27.757376,272.97366,50.039997,5.9805,6.5305004,6.6305003,9.1805,0.701,0.688,0.678,0.683
4950,True,1.973,67.75,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344363,Pieter,2020-03-29,16,4.4805,38.76573,-8.3695,-3.5070624,0.0,0.0,0.0,0.0,0.0,1034.5,1034.3727,33.40249,30.434166,63.0,8.1305,7.4305,7.7805004,9.330501,0.622,0.64,0.685,0.705
4969,True,2.35,179.386,0.0,1.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,319259,Osdorp,2019-05-04,13,9.574,73.524864,5.074,5.588995,0.1,0.1,0.0,0.0,51.0,1012.0,1011.63324,24.312662,332.6762,49.68,11.574,9.774,10.674,9.424,0.542,0.532,0.591,0.623
4970,True,1.916,80.118,0.0,0.0,8.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,399655,Osdorp,2022-04-30,17,10.5175,65.938545,4.4175,7.443921,0.0,0.0,0.0,0.0,3.0,1025.9,1025.4058,11.901798,356.53183,24.48,11.9175,9.7675,9.7675,9.0175,0.493,0.52,0.571,0.677
4971,True,2.051,216.759,0.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315017,Osdorp,2019-03-09,16,7.9045,73.47947,3.4545,0.8189926,0.0,0.0,0.0,0.0,0.0,1007.9,1007.1652,38.10562,292.20352,83.520004,9.054501,8.1045,7.8545003,9.7045,0.725,0.698,0.648,0.608
4973,True,2.437,168.886,0.0,12.0,16.0,14.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,326864,Osdorp,2019-08-10,16,20.880499,59.425102,12.6805,15.7446,0.0,0.0,0.0,0.0,0.0,1008.3,1008.0657,40.991024,226.06741,76.67999,21.530499,18.9805,17.2305,12.330501,0.582,0.487,0.49,0.603
5077,True,2.068,206.667,0.0,5.0,24.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,405721,Pieter,2022-07-16,13,19.3935,54.53271,9.9935,18.439526,0.0,0.0,0.0,0.0,1.0,1026.2,1026.3196,15.990646,328.8151,32.760002,21.9935,18.0935,15.7435,11.143499,0.447,0.491,0.505,0.641
5092,True,2.386,126.52,0.0,7.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338893,Osdorp,2020-01-14,18,11.774,78.591774,8.174,5.622284,0.0,0.0,0.0,0.0,3.0,1000.0,999.6405,38.90832,202.29367,70.56,8.874,7.524,7.674,10.974,0.718,0.71,0.685,0.639
5096,True,2.459,137.244,0.0,11.0,38.0,11.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,326907,Osdorp,2019-08-10,18,19.5805,65.03202,12.830501,14.718203,0.0,0.0,0.0,0.0,0.0,1008.9,1008.6646,39.463947,226.10872,72.72,20.9805,19.0805,17.2305,12.330501,0.577,0.487,0.49,0.603
5202,True,2.008,173.62,0.0,2.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,364734,Pieter,2021-01-12,12,6.1545,66.38997,0.3545,1.6682506,0.0,0.0,0.0,0.0,2.0,1008.9,1008.2832,16.575644,304.3804,35.64,5.5545,4.4045,6.1045003,11.3545,0.726,0.725,0.7,0.646
5203,True,2.111,176.592,0.0,5.0,84.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,393596,Pieter,2022-02-18,18,6.9805,65.151,0.88049996,-2.4806108,0.0,0.0,0.0,0.0,1.0,989.6,989.47943,51.268097,261.92688,97.56,7.9805,7.9805,7.5805,9.8805,0.724,0.72,0.7,0.679
5205,True,2.331,149.523,0.0,1.0,32.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116794,Pieter,2012-01-05,8,7.3435,82.696976,4.5935,-1.8788953,2.5,2.5,0.0,0.0,63.0,988.2,988.07965,54.311104,284.58896,93.6,6.7935004,7.0935,8.1935,11.0435,0.68,0.661,0.633,0.58
