,Unnamed: 0,grid_id,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
2016,4607,4607,GBA,"POLYGON ((4.807507483872947 52.40111066713135, 4.810455212957416 52.40111066713135, 4.810455212957416 52.399308865329544, 4.807507483872947 52.399308865329544, 4.807507483872947 52.40111066713135))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,4608,4608,GBA,"POLYGON ((4.807507483872947 52.40291246893315, 4.810455212957416 52.40291246893315, 4.810455212957416 52.40111066713135, 4.807507483872947 52.40111066713135, 4.807507483872947 52.40291246893315))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4609,4609,GBA,"POLYGON ((4.807507483872947 52.40471427073496, 4.810455212957416 52.40471427073496, 4.810455212957416 52.40291246893315, 4.807507483872947 52.40291246893315, 4.807507483872947 52.40471427073496))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4610,4610,GBA,"POLYGON ((4.807507483872947 52.40651607253676, 4.810455212957416 52.40651607253676, 4.810455212957416 52.40471427073496, 4.807507483872947 52.40471427073496, 4.807507483872947 52.40651607253676))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4611,4611,GBA,"POLYGON ((4.807507483872947 52.408317874338564, 4.810455212957416 52.408317874338564, 4.810455212957416 52.40651607253676, 4.807507483872947 52.40651607253676, 4.807507483872947 52.408317874338564))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4612,4612,GBA,"POLYGON ((4.807507483872947 52.41011967614037, 4.810455212957416 52.41011967614037, 4.810455212957416 52.408317874338564, 4.807507483872947 52.408317874338564, 4.807507483872947 52.41011967614037))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4613,4613,GBA,"POLYGON ((4.807507483872947 52.41192147794217, 4.810455212957416 52.41192147794217, 4.810455212957416 52.41011967614037, 4.807507483872947 52.41011967614037, 4.807507483872947 52.41192147794217))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,4614,4614,GBA,"POLYGON ((4.807507483872947 52.41372327974398, 4.810455212957416 52.41372327974398, 4.810455212957416 52.41192147794217, 4.807507483872947 52.41192147794217, 4.807507483872947 52.41372327974398))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,4615,4615,GBA,"POLYGON ((4.807507483872947 52.41552508154578, 4.810455212957416 52.41552508154578, 4.810455212957416 52.41372327974398, 4.807507483872947 52.41372327974398, 4.807507483872947 52.41552508154578))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,4616,4616,GBA,"POLYGON ((4.807507483872947 52.417326883347584, 4.810455212957416 52.417326883347584, 4.810455212957416 52.41552508154578, 4.807507483872947 52.41552508154578, 4.807507483872947 52.417326883347584))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
