Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
2023-06-25,0,9658,True,12.976,0.0,1886.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0
2022-02-18,16,11155,True,14.9,0.43,1986.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0
2022-02-18,21,12181,True,11.87,0.235,1996.271,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,10,2335,True,10.219,0.0,1981.573,8.0,2.0,7.0,0.0,0.0,30.0,0.0,9.0,1.0,23.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0
2022-02-18,15,6553,True,3.0,0.0,2018.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-27,12,5070,True,10.283,0.15,1996.682,1.0,10.0,14.0,5.0,19.0,19.0,2.0,2.0,6.0,0.0,0.0,0.0,13.0,0.0,3.0,38.0,0.0
2019-05-18,12,11681,True,7.25,0.156,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0
2023-07-05,15,9294,True,18.649,0.0,1837.464,4.0,9.0,0.0,9.0,87.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
2023-07-05,15,5416,True,14.532,0.15,616.969,0.0,2.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2022-01-31,16,1476,True,12.188,0.372,1993.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
