grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
4344,True,1975.5,1970.641,0.0,1.0,0.0,2.0,0.0,3.0,2.0,274195,Osdorp,2017-05-25,15,21.8,58.10934,13.2,22.388845,0.0,0.0,0.0,0.0,0.0,1024.5,1024.6188,6.489992,56.3099,23.4,21.7,15.55,12.15,8.6,0.513,0.541,0.571,0.64
4344,True,1975.5,1970.641,0.0,1.0,0.0,2.0,0.0,3.0,2.0,291495,Osdorp,2017-12-31,10,11.95,88.44665,10.1,7.4903736,0.6,0.6,0.0,0.0,53.0,996.8,996.9193,30.888754,216.46933,58.679996,8.75,6.8,7.6,11.65,0.727,0.708,0.679,0.613
4344,True,1975.5,1970.641,0.0,1.0,0.0,2.0,0.0,3.0,2.0,368796,Osdorp,2021-03-11,17,8.487,74.62436,4.237,2.1973329,0.0,0.0,0.0,0.0,3.0,995.3,995.1793,33.70377,246.72102,64.079994,8.537001,6.387,6.537,9.187,0.681,0.667,0.678,0.68
4344,True,1975.5,1970.641,0.0,1.0,0.0,2.0,0.0,3.0,2.0,411880,Osdorp,2022-10-05,16,17.693500518798828,65.26788330078125,11.093500137329102,13.511138916015623,0.0,0.0,0.0,0.0,3.0,1011.0,1011.0,30.993471145629883,210.73541259765625,59.03999710083008,16.3435001373291,14.143499374389648,13.943499565124512,13.743499755859377,0.6169999837875366,0.6200000047683716,0.4860000014305115,0.6100000143051147
4346,True,1997.176,1990.181,0.0,1.0,0.0,0.0,2.0,0.0,14.0,373177,Osdorp,2021-05-19,13,12.487,72.794945,7.737,9.973528,0.1,0.1,0.0,0.0,51.0,1016.2,1016.0784,13.202726,281.00348,28.44,14.787001,11.337001,9.637,8.537001,0.668,0.644,0.589,0.667
4348,True,1980.833,1994.878,0.0,0.0,0.0,3.0,0.0,0.0,3.0,391475,Osdorp,2022-01-31,13,6.1805,79.683846,2.9305,-1.3354678,0.1,0.1,0.0,0.0,51.0,1010.5,1010.25275,40.377815,320.0637,82.079994,5.1805,6.1305003,6.9305,10.330501,0.702,0.674,0.686,0.676
4348,True,1980.833,1994.878,0.0,0.0,0.0,3.0,0.0,0.0,3.0,392676,Osdorp,2022-02-16,19,11.6675,88.422455,9.8175,4.350445,0.3,0.3,0.0,0.0,51.0,988.1,987.6262,49.931103,235.27864,87.84,9.7175,7.8675003,7.3175,9.867499,0.724,0.717,0.696,0.68
4450,True,1981.571,1993.423,0.0,0.0,1.0,3.0,0.0,10.0,0.0,427246,Pieter,2023-04-19,18,10.330500602722168,62.51438903808594,3.4804999828338623,5.204503059387207,0.0,0.0,0.0,0.0,0.0,1024.9000244140625,1024.7763671875,24.7039737701416,43.22855758666992,47.519996643066406,12.430500030517578,10.130499839782717,8.830500602722168,9.080500602722168,0.6480000019073486,0.6650000214576721,0.6890000104904175,0.6769999861717224
4451,True,1996.333,1996.332,0.0,0.0,0.0,0.0,0.0,8.0,1.0,427213,Pieter,2023-04-19,13,13.187000274658203,47.409645080566406,2.236999988555908,8.335951805114746,0.0,0.0,0.0,0.0,0.0,1026.5999755859375,1026.5999755859375,27.66618156433105,57.757572174072266,51.47999954223633,13.28700065612793,9.63700008392334,8.78700065612793,9.087000846862791,0.6539999842643738,0.6679999828338623,0.6899999976158142,0.6769999861717224
4459,True,1994.333,1994.856,0.0,0.0,0.0,0.0,0.0,3.0,0.0,340684,Osdorp,2020-02-09,11,8.4175,82.545364,5.6175003,0.41020346,0.4,0.4,0.0,0.0,51.0,998.3,997.93665,47.472248,198.57245,103.32,6.6175003,6.2175,7.5175004,10.2675,0.688,0.678,0.69,0.672
