OBJECTNUMMER,ElementID,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
797,797,"LINESTRING(4.834179 52.384587,4.835035 52.384594,4.835207 52.384621,4.835416 52.384628,4.838673 52.38471)","LINESTRING(52.384587 4.834179,52.384594 4.835035,52.384621 4.835207,52.384628 4.835416,52.38471 4.838673)",4.836426,52.3846485
798,798,"LINESTRING(4.839706 52.38472,4.841417 52.384758,4.842376 52.384762,4.843046 52.384725,4.843249 52.38469,4.843721 52.384671)","LINESTRING(52.38472 4.839706,52.384758 4.841417,52.384762 4.842376,52.384725 4.843046,52.38469 4.843249,52.384671 4.843721)",4.8417135,52.3847165
799,799,"LINESTRING(4.835249 52.385916,4.838213 52.385948)","LINESTRING(52.385916 4.835249,52.385948 4.838213)",4.836731,52.385932
800,800,"LINESTRING(4.839408 52.385973,4.844024 52.386054)","LINESTRING(52.385973 4.839408,52.386054 4.844024)",4.841716,52.3860135
801,801,"LINESTRING(4.845041 52.386059,4.845665 52.38607,4.846984 52.386033,4.84754 52.386256,4.84817 52.38638,4.849225 52.386334,4.851388 52.386101,4.854036 52.385897,4.856313 52.385789,4.860714 52.385711,4.862714 52.38586,4.864412 52.386181,4.865379 52.386514)","LINESTRING(52.386059 4.845041,52.38607 4.845665,52.386033 4.846984,52.386256 4.84754,52.38638 4.84817,52.386334 4.849225,52.386101 4.851388,52.385897 4.854036,52.385789 4.856313,52.385711 4.860714,52.38586 4.862714,52.386181 4.864412,52.386514 4.865379)",4.85521,52.3861125
802,802,"LINESTRING(4.876828 52.341138,4.876981 52.34047,4.876916 52.340031,4.876946 52.33972)","LINESTRING(52.341138 4.876828,52.34047 4.876981,52.340031 4.876916,52.33972 4.876946)",4.8769045,52.340429
803,803,"LINESTRING(4.876822 52.338468,4.876785 52.337841,4.876823 52.337499,4.876966 52.33719,4.87732 52.336753,4.877869 52.335997,4.878611 52.335084)","LINESTRING(52.338468 4.876822,52.337841 4.876785,52.337499 4.876823,52.33719 4.876966,52.336753 4.87732,52.335997 4.877869,52.335084 4.878611)",4.877698,52.336776
804,804,"LINESTRING(4.927673 52.328139,4.925282 52.330844)","LINESTRING(52.328139 4.927673,52.330844 4.925282)",4.9264775,52.3294915
805,805,"LINESTRING(4.945682 52.344325,4.950748 52.341117,4.951762 52.340551)","LINESTRING(52.344325 4.945682,52.341117 4.950748,52.340551 4.951762)",4.948722,52.342438
806,806,"LINESTRING(4.952616 52.340092,4.953247 52.339808,4.954132 52.339569,4.955813 52.339297,4.960597 52.33844)","LINESTRING(52.340092 4.952616,52.339808 4.953247,52.339569 4.954132,52.339297 4.955813,52.33844 4.960597)",4.9566065,52.339266
